ESTACAO,DATA (YYYY-MM-DD),rain_max,rad_max,temp_avg,temp_max,temp_min,hum_max,hum_min,wind_max,wind_avg
A001,2015-01-01,0.0,3553.6,23.491666666666664,30.4,16.9,96.0,30.0,8.4,1.7750000000000001
A001,2015-01-02,0.0,2754.5,23.25,30.2,17.8,92.0,34.0,7.4,1.5083333333333335
A001,2015-01-03,3.4,3853.9,23.03333333333333,30.5,18.8,94.0,41.0,10.6,1.9166666666666667
A001,2015-01-04,8.8,3469.3,22.162499999999998,27.3,17.2,98.0,49.0,12.2,3.029166666666667
A001,2015-01-05,0.0,3856.1,22.75,29.0,16.1,99.0,27.0,7.9,2.095833333333333
A001,2015-01-06,0.0,3431.7,23.575,29.5,17.6,83.0,30.0,7.7,1.7083333333333333
A001,2015-01-07,0.0,3657.8,22.458333333333332,28.0,16.5,81.0,38.0,7.8,2.375
A001,2015-01-08,0.0,3973.7,23.71666666666667,28.9,19.6,79.0,34.0,9.1,2.75
A001,2015-01-09,0.0,3816.5,24.133333333333336,28.7,18.9,76.0,33.0,8.7,3.0583333333333336
A001,2015-01-10,0.0,3907.0,23.4875,28.7,16.2,80.0,26.0,7.6,1.8416666666666666
A001,2015-01-11,0.0,3676.7,24.2,30.1,17.0,79.0,31.0,7.5,2.129166666666667
A001,2015-01-12,0.0,4005.4,25.491666666666664,30.7,19.4,78.0,29.0,9.0,2.308333333333333
A001,2015-01-13,0.0,3652.7,24.991666666666664,31.0,17.8,79.0,23.0,8.3,1.9708333333333332
A001,2015-01-14,0.0,3852.8,25.88125,30.4,19.9,81.0,25.0,9.3,2.49375
A001,2015-01-15,0.0,3584.0,23.933333333333334,29.2,17.7,76.0,29.0,9.4,2.595833333333333
A001,2015-01-16,0.0,3474.2,24.02916666666667,29.6,17.2,79.0,28.0,9.3,2.5416666666666665
A001,2015-01-17,0.0,3582.9,23.96666666666667,30.4,16.1,85.0,29.0,6.7,1.7249999999999999
A001,2015-01-18,0.0,4081.1,24.1125,31.1,17.3,96.0,24.0,7.9,1.9916666666666665
A001,2015-01-19,0.0,3683.3,25.270833333333332,31.7,17.9,70.0,23.0,9.5,2.2708333333333335
A001,2015-01-20,0.0,3808.2,25.166666666666668,31.7,18.4,94.0,22.0,8.5,2.066666666666667
A001,2015-01-21,0.0,4163.6,23.870833333333334,30.9,17.6,94.0,25.0,11.1,1.9625000000000001
A001,2015-01-22,24.4,3481.0,20.917391304347827,28.9,15.5,99.0,38.0,16.8,2.152173913043478
A001,2015-01-23,0.6,3912.4,20.412499999999998,27.5,17.0,98.0,39.0,6.6,1.7125000000000001
A001,2015-01-24,1.8,3696.6,20.3125,26.1,17.8,99.0,49.0,9.8,1.9458333333333335
A001,2015-01-25,0.2,2426.2,20.150000000000002,26.1,17.0,97.0,48.0,12.0,2.316666666666667
A001,2015-01-26,0.0,3496.0,21.108333333333334,26.9,18.1,96.0,47.0,8.6,2.1708333333333334
