ESTACAO,DATA (YYYY-MM-DD),rain_max,rad_max,temp_avg,temp_max,temp_min,hum_max,hum_min,wind_max,wind_avg
A001,2016-01-01,1.2,3532.9,23.72083333333333,28.9,19.0,97.0,38.0,7.1,1.5208333333333333
A001,2016-01-02,3.0,3187.8,22.383333333333336,29.0,18.1,100.0,40.0,8.7,1.8583333333333334
A001,2016-01-03,31.0,1709.6,21.75,26.0,18.1,100.0,61.0,14.5,1.9083333333333332
A001,2016-01-04,0.2,2614.7,21.425,27.7,18.8,100.0,49.0,11.9,1.3666666666666665
A001,2016-01-05,3.4,1478.2,20.829166666666666,25.3,18.1,100.0,62.0,8.4,1.5166666666666666
A001,2016-01-06,0.4,3463.2,20.845833333333335,25.2,18.9,100.0,63.0,11.3,2.533333333333333
A001,2016-01-07,1.2,1877.2,21.020833333333332,26.1,19.1,100.0,60.0,10.3,2.75
A001,2016-01-08,4.0,2298.5,20.391666666666666,24.5,19.0,100.0,71.0,10.2,3.2583333333333333
A001,2016-01-09,0.8,2493.5,20.570833333333333,24.7,18.5,100.0,67.0,9.1,3.0583333333333336
A001,2016-01-10,0.2,3388.8,21.7625,27.4,19.1,100.0,52.0,11.6,2.954166666666667
A001,2016-01-11,6.6,2962.0,21.833333333333332,27.0,18.1,100.0,58.0,11.4,2.2875
A001,2016-01-12,3.6,2428.9,21.104166666666668,24.7,18.9,100.0,68.0,9.2,2.6958333333333333
A001,2016-01-13,9.4,2734.8,20.704166666666666,25.8,18.8,100.0,65.0,9.3,2.7291666666666665
A001,2016-01-14,2.2,2203.6,20.516666666666666,24.5,18.9,100.0,73.0,10.5,2.7291666666666665
A001,2016-01-15,0.4,2162.8,20.241666666666667,23.5,18.8,100.0,73.0,10.3,3.404166666666667
A001,2016-01-16,1.2,2430.1,21.054166666666667,24.5,19.5,100.0,71.0,10.4,2.8708333333333336
A001,2016-01-17,4.0,874.9,20.233333333333334,22.0,19.4,100.0,84.0,9.0,2.9375
A001,2016-01-18,3.8,2477.9,20.625,24.3,19.3,100.0,76.0,10.0,2.8874999999999997
A001,2016-01-19,0.6,2020.6,21.054166666666667,25.7,19.4,100.0,68.0,11.4,3.4166666666666665
A001,2016-01-20,23.6,1867.5,20.269565217391303,24.7,18.0,100.0,70.0,10.7,2.682608695652174
A001,2016-01-21,42.2,2025.5,20.658333333333335,25.2,18.6,100.0,64.0,7.9,2.3541666666666665
A001,2016-01-22,27.8,3569.8,20.516666666666666,26.5,16.6,100.0,27.0,10.9,1.7958333333333334
A001,2016-01-23,5.8,2310.9,20.383333333333333,26.2,18.2,95.0,58.0,9.2,1.4749999999999999
A001,2016-01-24,0.2,3377.9,21.425,27.3,18.0,95.0,52.0,8.1,2.3583333333333334
A001,2016-01-25,0.2,3571.9,22.224999999999998,28.8,18.0,96.0,51.0,10.2,2.245833333333333
A001,2016-01-26,4.8,2433.9,22.7,27.9,18.0,95.0,53.0,9.3,1.6416666666666666
A001,2016-01-27,2.0,2177.0,21.0125,26.1,18.8,95.0,61.0,11.0,2.5083333333333333
A001,2016-01-28,13.6,2443.7,20.816666666666666,26.5,18.6,95.0,58.0,5.8,2.025
A001,2016-01-29,0.2,2438.8,21.520833333333332,26.0,19.2,93.0,61.0,11.8,3.108333333333333
A001,2016-01-30,0.0,4038.2,23.133333333333336,28.6,18.7,94.0,35.0,10.4,2.7916666666666665
A001,2016-01-31,0.0,3744.6,23.28333333333333,27.8,19.5,72.0,38.0,9.3,3.025
